"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"334","6065674","399","1","Jamaica Plain","95","strict","Apartment","4"
"335","13698137","71","1","Jamaica Plain","93","flexible","House","1"
"337","5049582","70","1","Jamaica Plain","100","flexible","Bed & Breakfast","1"
"339","8981656","85","1","Jamaica Plain","95","strict","Bed & Breakfast","1"
"340","13110347","61","0.96","Jamaica Plain","97","moderate","Apartment","1"
"341","9833460","250","1","Jamaica Plain","93","strict","House","2"
"342","8801250","56","0.73","Jamaica Plain","90","strict","House","1"
"343","11553697","200",NULL,"Jamaica Plain","80","flexible","Apartment","1"
"344","13110084","220","1","Jamaica Plain","94","strict","Apartment","2"
"345","14682931","80","1","Jamaica Plain","100","strict","Bed & Breakfast","1"
"346","6425318","60","1","Jamaica Plain","95","strict","Bed & Breakfast","1"
"347","2378421","125","1","Jamaica Plain","99","moderate","House","1"
"349","14683493","149","1","Jamaica Plain","100","flexible","Apartment","1"
"350","12949270","65","1","Jamaica Plain","100","flexible","Apartment","1"
"351","12781774","99","1","Jamaica Plain","94","strict","Apartment","0"
"352","8226982","67","1","Jamaica Plain","100","moderate","Apartment","1"
"353","5212321","180","1","Jamaica Plain","100","strict","House","2"
"354","4339392","170","1","Jamaica Plain","100","moderate","Apartment","2"
"355","12191871","115","1","Jamaica Plain","100","strict","House","2"
"357","6764572","89","1","Jamaica Plain","95","strict","House","1"
"358","8521792","110","1","Jamaica Plain","95","flexible","House","1"
"359","4065322","84","1","Jamaica Plain","93","flexible","Apartment","1"
"362","12274601","65","0.4","Jamaica Plain","100","flexible","Apartment","1"
"363","4457943","86","1","Jamaica Plain","100","strict","Townhouse","1"
"364","9865550","75",NULL,"Jamaica Plain","100","strict","Apartment","1"
"365","4838985","255","1","Jamaica Plain","90","strict","Apartment","3"
"366","197972","145","1","Jamaica Plain","96","strict","House","1"
"367","10749312","199","1","Jamaica Plain","100","strict","House","3"
"368","1115394","91","1","Jamaica Plain","96","moderate","Apartment","1"
"369","5702292","81","0.73","Jamaica Plain","91","strict","House","1"
"370","4015972","60","1","Jamaica Plain","96","strict","Apartment","1"
"371","2295530","99","1","Jamaica Plain","99","strict","House","1"
"372","5882411","88","1","Jamaica Plain","96","moderate","Condominium","1"
"373","6914622","225","0.9","Jamaica Plain","100","strict","House","1"
"374","13697486","50","1","Jamaica Plain","70","flexible","Apartment","1"
"375","14254537","225","0.75","Jamaica Plain","100","flexible","Condominium","1"
"376","13041752","48","1","Jamaica Plain","96","strict","Townhouse","1"
"378","1885386","85","1","Jamaica Plain","95","moderate","House","1"
"379","115936","525","1","Jamaica Plain","70","strict","Apartment","4"
"380","8275122","100",NULL,"Jamaica Plain","100","flexible","Apartment","1"
"381","2798787","75","1","Jamaica Plain","98","moderate","House","1"
"382","9110588","25",NULL,"Jamaica Plain","80","flexible","Apartment","1"
